word;fc_count;stopword;rfc_count;fcTotalCount;rfcTotalCount;simpleMathsScore
portaal;1;no;11639;675;932062911;109.91640205094684
iseseisev;1;no;11970;675;932062911;107.09651740693036
koostanud;1;no;12506;675;932062911;102.82479061786128
vaielda;1;no;12637;675;932062911;101.8320877570012
kogumise;1;no;13370;675;932062911;96.61305601379216
sõnumeid;1;no;13611;675;932062911;95.01203519432552
arvestama;2;no;28561;675;932062911;93.66948274216308
maailmale;1;no;14349;675;932062911;90.42342232218444
muretseda;1;no;14620;675;932062911;88.84776335079617
valides;1;no;14946;675;932062911;87.02358800807892
vanas;1;no;15186;675;932062911;85.72779575082912
masinad;1;no;15198;675;932062911;85.6640183461974
liidus;2;no;31556;675;932062911;85.03430798331985
eetris;1;no;15475;675;932062911;84.21775503809563
kohustust;1;no;15789;675;932062911;82.63625419555257
tagajärjed;1;no;16720;675;932062911;78.2778767614841
küsitakse;1;no;17387;675;932062911;75.42776679387441
kahjustada;1;no;17612;675;932062911;74.51258183089877
edastada;1;no;18894;675;932062911;69.69442250516535
vabadus;1;no;19532;675;932062911;67.52158704469603
seadusega;1;no;19638;675;932062911;67.1736402125592
kehtima;1;no;19760;675;932062911;66.77758573789512
nõue;1;no;20099;675;932062911;65.70119689055322
seadus;2;no;41561;675;932062911;65.01296348398323
väärib;1;no;20346;675;932062911;64.93852428732592
puudutavad;1;no;20523;675;932062911;64.40279438308202
kodanik;1;no;21226;675;932062911;62.35951268318079
halva;1;no;21413;675;932062911;61.837642195807305
isikut;1;no;21488;675;932062911;61.63078179657041
muutma;1;no;21557;675;932062911;61.44168881564931
asukoha;1;no;22185;675;932062911;59.77255892986839
isu;1;no;23483;675;932062911;56.59481649382436
kultuur;1;no;23786;675;932062911;55.90106353027812
põhjustab;1;no;24134;675;932062911;55.1249715617225
sedavõrd;1;no;24228;675;932062911;54.91902027514856
kliente;1;no;24237;675;932062911;54.89938223044963
räägitud;1;no;24625;675;932062911;54.06591555317169
tõid;1;no;25925;675;932062911;51.44888738251733
sarnast;1;no;26103;675;932062911;51.11014572749563
sotsiaalmeedia;1;no;26229;675;932062911;50.87304608295056
kasutajate;1;no;26237;675;932062911;50.85806638453414
tegelevad;1;no;28400;675;932062911;47.10769949341128
kogunud;1;no;28908;675;932062911;46.30573364588516
väiksema;1;no;31421;675;932062911;42.70897036655604
kirjeldatud;1;no;31482;675;932062911;42.62859638815311
isikuandmete;1;no;31636;675;932062911;42.4270245641943
tuvastada;1;no;31759;675;932062911;42.26739304546384
andmed;3;no;97366;675;932062911;42.15173490579535
protsendi;1;no;32532;675;932062911;41.291041342114525
