lemma;upos;ner tag;fc_count;stopword;rfc_count;fcTotalCount;rfcTotalCount;simpleMathsScore
nädalalõpp;NOUN;O;1;no;7368;4541;932020281;24.84061674685687
käima;VERB;O;8;no;1068320;4541;932020281;1.5364916869017726
kodu;NOUN;O;5;no;695914;4541;932020281;1.474012913812873
muidugi;ADV;O;10;yes;425640;4541;932020281;4.813696041369413
vast;NOUN;O;1;no;71085;4541;932020281;2.862901325089333
pärast;ADV;O;1;yes;1109488;4541;932020281;0.18567534718915232
lett;NOUN;O;1;no;18208;4541;932020281;10.77206919138584
sihuke;ADV;O;1;yes;10050;4541;932020281;18.774106905281197
põikpäine;ADJ;O;1;no;894;4541;932020281;112.910916125504
millal;ADV;O;1;yes;126295;4541;932020281;1.620549018094474
teine;PRON;O;5;yes;2488232;4541;932020281;0.41265261126398006
lõpetama;VERB;O;2;no;317669;4541;932020281;1.2913430877875192
keskkool;NOUN;O;1;no;34571;4541;932020281;5.807326282654309
85000;NUM;O;1;no;1;4541;932020281;220.97871502908976
relvajõud;NOUN;O;2;no;8932;4541;932020281;41.70948696186288
tagasi;ADV;O;3;yes;880987;4541;932020281;0.6992352059896562
just;ADV;O;9;yes;812006;4541;932020281;2.273411252479388
töö;NOUN;O;5;no;1240583;4541;932020281;0.8273440240785952
asemel;ADP;O;1;yes;194343;4541;932020281;1.0558320388074802
hakkama;VERB;O;18;yes;1534212;4541;932020281;2.4071701525390887
88.;ADJ;O;1;no;1;4541;932020281;220.97871502908976
kohe;ADV;O;3;yes;544479;4541;932020281;1.1306497391539103
juhtuma;VERB;O;1;no;321293;4541;932020281;0.6398560317000235
ainuisikuline;ADJ;O;1;no;290;4541;932020281;168.7186587629639
meistritiitel;NOUN;O;1;no;13733;4541;932020281;14.059143379336746
oma;PRON;O;13;yes;4547218;4541;932020281;0.5868594573650576
õpilane;NOUN;O;4;no;318473;4541;932020281;2.57326710018444
jagamine;NOUN;O;1;no;59257;4541;932020281;3.4255022233107324
õnnestuma;VERB;O;3;no;177653;4541;932020281;3.4530826092920033
tempera;NOUN;O;1;no;578;4541;932020281;136.53963816626396
jah;ADV;O;7;yes;416617;4541;932020281;3.443071754513323
võima;AUX;O;11;yes;3045930;4541;932020281;0.7412983039145823
paremini;ADV;O;2;no;214347;4541;932020281;1.9111162098605654
halvem;ADJ;O;1;no;28131;4541;932020281;7.094156794373131
lihtsalt;ADV;O;4;no;750446;4541;932020281;1.0938760625649682
hetk;NOUN;O;4;no;670517;4541;932020281;1.2240905943668985
95.;ADJ;O;1;no;1;4541;932020281;220.97871502908976
tarmo;PROPN;O;1;no;31328;4541;932020281;6.391118821239289
pip;PROPN;O;1;no;1844;4541;932020281;74.27093533956075
noortemeister;NOUN;O;1;no;444;4541;932020281;149.83618020631502
lõpuks;ADV;O;3;no;287042;4541;932020281;2.1414043781124636
üldse;ADV;O;3;no;442655;4541;932020281;1.3901868170573122
võtma;VERB;O;10;no;2139597;4541;932020281;0.9592899820232488
neljas;ADJ;O;2;no;112038;4541;932020281;3.6418797153311324
klass;NOUN;O;3;no;253883;4541;932020281;2.4200646693917127
kasvatama;VERB;O;1;no;96310;4541;932020281;2.1202523579381563
vodka;NOUN;O;1;no;1409;4541;932020281;88.07169440812729
malemängija;NOUN;O;1;no;103;4541;932020281;199.2015292611066
meister;NOUN;O;2;no;91534;4541;932020281;4.44945315102374
niisugune;ADJ;O;2;yes;62699;4541;932020281;6.465765022862128
kummarg;NOUN;O;1;no;1;4541;932020281;220.97871502908976
laud;NOUN;O;2;no;187264;4541;932020281;2.186142006019121
kohal;ADP;O;1;yes;92968;4541;932020281;2.1957143584683423
peale;ADV;O;3;yes;1213606;4541;932020281;0.5077394182108074
muu;PRON;O;7;yes;842691;4541;932020281;1.7041394121456745
miski;PRON;O;9;yes;1421997;4541;932020281;1.2988296791572718
vaid;CCONJ;O;3;yes;1233871;4541;932020281;0.4994066403174553
ainult;ADV;O;5;yes;949084;4541;932020281;1.0812028543786907
teine;DET;O;8;yes;2488232;4541;932020281;0.6600195193964022
õppedistsipliin;NOUN;O;1;no;37;4541;932020281;212.7691513109417
tega;NOUN;O;1;no;1052;4541;932020281;103.91911048789339
pahuks;NOUN;O;1;no;11;4541;932020281;218.63540683645198
õpetaja;NOUN;O;2;no;350694;4541;932020281;1.1700591013518677
varastama;VERB;O;1;no;28019;4541;932020281;7.121601269671683
lõikama;VERB;O;1;no;102255;4541;932020281;1.998096487620198
tunnistama;VERB;O;1;no;199326;4541;932020281;1.029559877313048
vait;ADV;O;1;no;14481;4541;932020281;13.376847563460377
seni;ADV;O;1;yes;174633;4541;932020281;1.174366183317516
arvama;VERB;O;2;no;778296;4541;932020281;0.527988232704409
rõhuv;ADJ;O;1;no;2166;4541;932020281;66.55141157594645
enamus;NOUN;O;1;no;137791;4541;932020281;1.4862538486678196
kõik;PRON;O;10;yes;3161580;4541;932020281;0.649290194698818
andekas;ADJ;O;3;no;25006;4541;932020281;23.774706825412586
mitu;DET;O;4;yes;814408;4541;932020281;1.0080633967158574
ala;NOUN;O;4;no;240225;4541;932020281;3.4082127460570435
jagama;VERB;O;1;no;392343;4541;932020281;0.5242581200406365
palju;DET;O;1;yes;2035102;4541;932020281;0.10126433091869702
asi;NOUN;O;15;no;1426594;4541;932020281;2.157309929336139
niga;NOUN;O;1;no;100;4541;932020281;199.7805920942558
piip;PROPN;O;1;yes;6254;4541;932020281;28.69148913155708
jalgpall;NOUN;O;1;no;71140;4541;932020281;2.860716571945658
kui;CCONJ;O;1;yes;8931430;4541;932020281;0.023082094335555622
kergejõustik;NOUN;O;1;no;10709;4541;932020281;17.711301742852815
omavanus;NOUN;O;1;no;336;4541;932020281;162.59804821801606
päris;ADV;O;7;yes;460557;4541;932020281;3.115244728853653
tipp;NOUN;O;6;no;71524;4541;932020281;17.009016373853104
