word;upos;ner tag;fc_count;stopword;rfc_count;fcTotalCount;rfcTotalCount;simpleMathsScore
aitavad;VERB;O;1;no;91605;5229;932062911;1.9363144344191023
kohalatisele;NOUN;O;1;no;1;5229;932062911;192.03512273495335
maaeluga;NOUN;O;1;no;404;5229;932062911;134.11108800199142
koolidele;NOUN;O;1;no;6453;5229;932062911;24.262603148096304
hetero;NOUN;O;1;no;1182;5229;932062911;84.75663127194319
geograafiliselt;ADV;O;1;no;2423;5229;932062911;53.40610754148623
vale;ADJ;O;1;no;1;5229;932062911;192.03512273495335
koha;NOUN;O;1;no;284553;5229;932062911;0.6276365173234212
linnast;NOUN;O;1;no;27211;5229;932062911;6.366785704880872
kaugel;ADV;O;2;no;1;5229;932062911;383.0713172090019
bussi;NOUN;O;1;no;28292;5229;932062911;6.131277884906065
peale;ADP;O;1;yes;1;5229;932062911;192.03512273495335
kevadel;NOUN;O;1;no;90704;5229;932062911;1.955353001223375
kavatsed;VERB;O;1;no;3239;5229;932062911;42.95807914111747
kasvatama;VERB;O;1;no;6184;5229;932062911;25.179773264277966
istutama;VERB;O;1;no;1238;5229;932062911;82.56942677793079
lilli;NOUN;O;1;no;14695;5229;932062911;11.466060618927385
tõin;VERB;O;1;no;9020;5229;932062911;18.004392881728023
iseendaga;PRON;O;1;no;11605;5229;932062911;14.292091529356915
lillepeenrad;ADJ;O;1;no;536;5229;932062911;122.05256960770522
signaal;NOUN;O;1;no;8496;5229;932062911;19.00505462519371
panen;VERB;O;2;no;57288;5229;932062911;6.139286364256119
juurvilja;NOUN;O;3;no;1311;5229;932062911;238.8156049707665
kartuli;NOUN;O;1;no;5285;5229;932062911;28.8208199270895
lilleaed;NOUN;O;1;no;361;5229;932062911;138.5708685239042
plaanis;NOUN;O;1;no;83533;5229;932062911;2.1213605301178657
pooldad;VERB;O;1;no;224;5229;932062911;154.992300962519
roheliste;ADJ;O;2;no;9416;5229;932062911;34.54072916156005
liikumist;NOUN;O;1;no;31330;5229;932062911;5.553917960163196
taimetoitlane;NOUN;O;1;no;1368;5229;932062911;77.90258682768606
paned;VERB;O;1;no;24946;5229;932062911;6.924044170135833
sealihaga;NOUN;O;1;no;426;5229;932062911;131.93854951931445
pannile;NOUN;O;2;no;6823;5229;932062911;46.08984381656626
palgast;NOUN;O;1;no;6320;5229;932062911;24.707569809072474
jääb;VERB;O;1;no;414110;5229;932062911;0.43171732854397626
lihaga;NOUN;O;1;no;2604;5229;932062911;50.672415944841156
enamasti;ADV;O;1;no;136638;5229;932062911;1.3024697876981974
sööma;VERB;O;1;no;33848;5229;932062911;5.1518265246336785
suvel;NOUN;O;1;no;136169;5229;932062911;1.3069253208462301
