word;fc_count;stopword;rfc_count;fcTotalCount;rfcTotalCount;simpleMathsScore
vahetpidamata;1;no;1940;3883;932046280;83.89995983158701
persoon;1;no;1967;3883;932046280;83.11856529812243
romaanid;1;no;1988;3883;932046280;82.52080426836898
lauludest;1;no;1998;3883;932046280;82.2391677466811
kohtumistest;1;no;2001;3883;932046280;82.15505127537875
surematu;1;no;2010;3883;932046280;81.90373114268581
maandumist;1;no;2010;3883;932046280;81.90373114268581
üksikasjaliku;1;no;2011;3883;932046280;81.87590156633858
kisa;3;no;7889;3883;932046280;81.73969245056232
teati;1;no;2017;3883;932046280;81.70932045408895
ansamblis;1;no;2022;3883;932046280;81.57101977646028
poksi;1;no;2030;3883;932046280;81.3507098634728
kolmekordse;1;no;2036;3883;932046280;81.1862568148563
yorki;2;no;5022;3883;932046280;80.78490931261587
vastustest;1;no;2086;3883;932046280;79.84124336438569
palade;1;no;2087;3883;932046280;79.81479751494864
stewart;1;no;2097;3883;932046280;79.55129940320982
noormehega;1;no;2113;3883;932046280;79.13330221255585
pühitseti;1;no;2139;3883;932046280;78.46334622038289
piiranud;1;no;2156;3883;932046280;78.0313977439674
over;2;no;5234;3883;932046280;78.00737570411455
toimetusse;1;no;2166;3883;932046280;77.77952481925445
edetabelit;1;no;2169;3883;932046280;77.7042797073183
enneolematut;1;no;2172;3883;932046280;77.62918004123924
kolinal;1;no;2193;3883;932046280;77.10751967694345
plaadist;1;no;2193;3883;932046280;77.10751967694345
õhtusöögile;1;no;2195;3883;932046280;77.05820315728072
kujusid;1;no;2196;3883;932046280;77.03356854632564
aafrikasse;1;no;2197;3883;932046280;77.00894968113381
telegraph;1;no;2222;3883;932046280;76.39855161746674
usklikud;1;no;2251;3883;932046280;75.70250204670569
laulmas;1;no;2279;3883;932046280;75.04238385703333
expressi;1;no;2280;3883;932046280;75.01902106044965
sebida;1;no;2282;3883;932046280;74.97233908108471
kenam;1;no;2295;3883;932046280;74.67031663594825
ainukesena;1;no;2316;3883;932046280;74.18754129527333
taandus;1;no;2322;3883;932046280;74.05074998701583
makaronid;1;no;2333;3883;932046280;73.80127167032343
karjuvad;1;no;2363;3883;932046280;73.12934236737304
pildistanud;1;no;2367;3883;932046280;73.04067511488773
vaos;1;no;2371;3883;932046280;72.95222261507608
organiseeris;1;no;2373;3883;932046280;72.90807665375837
tüütud;1;no;2410;3883;932046280;72.10090685113401
võimaldasid;1;no;2418;3883;932046280;71.92872795968027
telesaates;1;no;2499;3883;932046280;70.2306374971016
parimateks;1;no;2515;3883;932046280;69.90465109927649
liialdus;1;no;2538;3883;932046280;69.44131232925773
viimasesse;1;no;2586;3883;932046280;68.49385947431566
boy;1;no;2590;3883;932046280;68.41607076397045
abstraktne;1;no;2618;3883;932046280;67.8764580856278
ajalehtedes;1;no;2659;3883;932046280;67.10149319670114
ansambli;4;no;13531;3883;932046280;66.44949567746497
tagasitulek;1;no;2704;3883;932046280;66.27103974222763
ähvardanud;1;no;2706;3883;932046280;66.23460752853835
columbia;1;no;2711;3883;932046280;66.14370200272585
esinemine;3;no;10075;3883;932046280;65.50618500891565
esinemisi;1;no;2749;3883;932046280;65.46089051791517
ainukeseks;1;no;2785;3883;932046280;64.82689462947954
viisaka;1;no;2799;3883;932046280;64.58364475887952
kuulete;1;no;2800;3883;932046280;64.56633960242823
singel;2;no;6544;3883;932046280;64.3384311383527
vestles;1;no;2829;3883;932046280;64.06849307008764
muuseumist;1;no;2830;3883;932046280;64.05146284549667
erines;1;no;2848;3883;932046280;63.74645961383809
suurimal;1;no;2863;3883;932046280;63.49450039551532
