word;upos;ner tag;fc_count;stopword;rfc_count;fcTotalCount;rfcTotalCount
sihikindlusele;NOUN;O;1;no;89;14924;932062911
mille;PRON;O;4;yes;1;14924;932062911
pean;AUX;O;9;yes;155345;14924;932062911
praegu;ADV;O;17;yes;1;14924;932062911
väga-väga;ADV;O;4;no;12272;14924;932062911
tänulik;ADJ;O;1;no;30079;14924;932062911
olema;AUX;O;15;yes;1;14924;932062911
muidugi;ADV;O;25;yes;423963;14924;932062911
kergem;ADJ;O;2;no;33416;14924;932062911
edasi;ADV;O;18;yes;1;14924;932062911
minna;VERB;O;14;yes;1;14924;932062911
tulin;VERB;O;3;yes;25343;14924;932062911
kaheksandat;ADJ;O;1;no;3005;14924;932062911
klassi;NOUN;O;2;no;103099;14924;932062911
Tallinna;PROPN;O;7;no;457387;14924;932062911
muusikakeskkooli;NOUN;O;2;no;1048;14924;932062911
nooruse;NOUN;O;1;no;4343;14924;932062911
kooris;NOUN;O;2;no;3391;14924;932062911
laulmine;NOUN;O;1;no;3724;14924;932062911
muudes;DET;O;1;yes;11666;14924;932062911
loomsed;ADJ;O;1;no;1470;14924;932062911
populaarne;ADJ;O;1;no;35778;14924;932062911
aeg;NOUN;O;16;no;1;14924;932062911
nende;PRON;O;7;yes;2;14924;932062911
kooridele;NOUN;O;1;no;417;14924;932062911
sai;AUX;O;7;yes;1;14924;932062911
ilma;ADV;O;2;yes;1;14924;932062911
näha;VERB;O;10;no;425520;14924;932062911
tuli;VERB;O;20;yes;1;14924;932062911
Tõnu;PROPN;O;2;no;35437;14924;932062911
Kaljuste;PROPN;O;2;no;5345;14924;932062911
kammerkoor;NOUN;O;1;no;3480;14924;932062911
tagantjärgi;ADV;O;1;no;7506;14924;932062911
üks;DET;O;36;yes;2;14924;932062911
põnev;ADJ;O;7;no;63568;14924;932062911
viis;VERB;O;1;no;277376;14924;932062911
kaugele;ADV;O;1;no;47893;14924;932062911
tundsin;VERB;O;4;no;44563;14924;932062911
tahan;VERB;O;4;no;108166;14924;932062911
muid;PRON;O;1;yes;84987;14924;932062911
kogemusi;NOUN;O;2;no;61720;14924;932062911
saada;VERB;O;9;yes;1;14924;932062911
tunda;VERB;O;3;no;116925;14924;932062911
Eestis;PROPN;O;7;no;1;14924;932062911
lage;NOUN;O;1;no;3921;14924;932062911
puudutada;VERB;O;1;no;6493;14924;932062911
kerge;ADJ;O;2;no;126204;14924;932062911
või;ADV;O;1;yes;1;14924;932062911
jõuda;VERB;O;3;no;90747;14924;932062911
suhteliselt;ADV;O;14;no;3;14924;932062911
tee;NOUN;O;4;yes;1;14924;932062911
juba;ADV;O;21;yes;1;14924;932062911
tipus;NOUN;O;1;no;14676;14924;932062911
ole;AUX;O;61;yes;1;14924;932062911
vaikselt;ADV;O;2;no;73598;14924;932062911
allapoole;ADV;O;1;yes;19336;14924;932062911
tahtsin;VERB;O;3;no;58451;14924;932062911
midagi;PRON;O;35;yes;1;14924;932062911
veel;ADV;O;25;yes;3;14924;932062911
kogeda;VERB;O;1;no;22527;14924;932062911
otsustasin;VERB;O;1;no;41328;14924;932062911
mingi;DET;O;16;yes;1;14924;932062911
veenieksamitele;NOUN;O;1;no;0;14924;932062911
tegelikult;ADV;O;38;no;1;14924;932062911
eellugu;NOUN;O;1;no;1494;14924;932062911
natuke;ADV;O;13;no;4;14924;932062911
keerulisem;ADJ;O;1;no;23142;14924;932062911
laulsin;VERB;O;2;no;1696;14924;932062911
solistina;NOUN;O;1;no;1774;14924;932062911
seni;ADV;O;1;yes;1;14924;932062911
ooperimajas;NOUN;O;1;no;270;14924;932062911
kammerkooris;NOUN;O;1;no;205;14924;932062911
lauldes;VERB;O;1;no;3027;14924;932062911
oskus;NOUN;O;1;no;29713;14924;932062911
päris;ADV;O;19;yes;1;14924;932062911
võtsin;VERB;O;2;no;65333;14924;932062911
ühed;DET;O;1;yes;36872;14924;932062911
kursused;NOUN;O;1;no;6884;14924;932062911
Soomes;PROPN;O;2;no;65974;14924;932062911
Helsingis;PROPN;O;2;no;11315;14924;932062911
nendel;DET;O;1;yes;35777;14924;932062911
kursustel;NOUN;O;1;no;4428;14924;932062911
viibis;VERB;O;1;no;13528;14924;932062911
professor;NOUN;O;11;no;40333;14924;932062911
Viinist;PROPN;O;1;no;490;14924;932062911
pärast;ADP;O;14;yes;2;14924;932062911
lõppkontserti;NOUN;O;1;no;91;14924;932062911
kõnetas;VERB;O;1;no;2405;14924;932062911
võiksite;AUX;O;1;yes;1;14924;932062911
tulla;VERB;O;3;yes;204607;14924;932062911
vini;NOUN;O;1;no;61;14924;932062911
õppima;VERB;O;4;no;49483;14924;932062911
tal;PRON;O;15;yes;2;14924;932062911
mees;NOUN;O;12;no;1;14924;932062911
teises;DET;O;3;yes;116522;14924;932062911
nooruses;NOUN;O;1;no;6187;14924;932062911
üle;ADP;O;9;yes;2;14924;932062911
50;NUM;O;2;no;0;14924;932062911
meie;PRON;O;18;yes;3;14924;932062911
blondid;NOUN;O;1;no;1845;14924;932062911
skandinaavia;ADJ;O;1;no;3160;14924;932062911
tüdrukud;NOUN;O;1;no;1;14924;932062911
osanud;VERB;O;1;no;50845;14924;932062911
kohe-kohe;ADV;O;1;no;7459;14924;932062911
reageerida;VERB;O;1;no;14606;14924;932062911
tõsiselt;ADV;O;2;no;2;14924;932062911
taga;ADP;O;1;yes;1;14924;932062911
uurisin;VERB;O;1;no;14871;14924;932062911
maad;NOUN;O;1;no;44553;14924;932062911
Tali;PROPN;O;1;no;5000;14924;932062911
vinis;VERB;O;1;no;0;14924;932062911
tõesti;ADV;O;19;yes;1;14924;932062911
üks;PRON;O;2;yes;2;14924;932062911
parematest;ADJ;O;1;no;1042;14924;932062911
professoritest;NOUN;O;1;no;116;14924;932062911
mitu;DET;O;6;yes;284945;14924;932062911
järjekord;NOUN;O;1;no;10652;14924;932062911
kutsus;VERB;O;1;no;43734;14924;932062911
koheselt;ADV;O;2;no;45874;14924;932062911
sinna;ADV;O;26;yes;1;14924;932062911
omamoodi;ADV;O;7;no;31871;14924;932062911
õnn;NOUN;O;4;no;21870;14924;932062911
sans;NOUN;O;1;no;141;14924;932062911
eksamid;NOUN;O;1;no;3822;14924;932062911
Eesti;PROPN;O;6;no;1;14924;932062911
niuksed;ADJ;O;2;no;108;14924;932062911
korraliku;ADJ;O;2;no;41925;14924;932062911
muusikaharidusega;NOUN;O;1;no;57;14924;932062911
kergelt;ADV;O;1;no;71934;14924;932062911
läbi;ADP;O;6;yes;1;14924;932062911
kodumaalt;NOUN;O;1;no;3374;14924;932062911
äraminek;NOUN;O;1;no;361;14924;932062911
paljudest;PRON;O;1;no;1;14924;932062911
asjadest;NOUN;O;1;no;1;14924;932062911
loobumine;NOUN;O;1;no;6166;14924;932062911
ju;ADV;O;42;yes;843987;14924;932062911
proovikivi;NOUN;O;1;no;1739;14924;932062911
esimene;ADJ;O;10;no;1;14924;932062911
või;CCONJ;O;53;yes;1;14924;932062911
poolteist;NUM;O;1;no;23210;14924;932062911
patjanutmist;NOUN;O;1;no;0;14924;932062911
sul;PRON;O;7;yes;307622;14924;932062911
üldse;ADV;O;10;no;2;14924;932062911
inimesi;NOUN;O;9;no;293390;14924;932062911
kellega;PRON;O;5;yes;88307;14924;932062911
suhelda;VERB;O;4;no;36012;14924;932062911
keegi;PRON;O;14;yes;1;14924;932062911
eriti;ADV;O;8;no;3;14924;932062911
inglise;ADJ;O;3;no;114695;14924;932062911
keelt;NOUN;O;8;no;87048;14924;932062911
rääkida;VERB;O;3;no;1;14924;932062911
tahtnud;VERB;O;1;no;75394;14924;932062911
oli;VERB;O;5;yes;1;14924;932062911
kohe;ADV;O;5;yes;5;14924;932062911
vaja;ADV;O;18;no;5;14924;932062911
sukelduda;VERB;O;1;no;3223;14924;932062911
kooli;NOUN;O;6;no;1;14924;932062911
muusikaajalugu;NOUN;O;1;no;211;14924;932062911
saksa;ADJ;O;1;no;79428;14924;932062911
keeles;NOUN;O;3;no;166248;14924;932062911
märkad;VERB;O;2;no;4947;14924;932062911
teadmistega;NOUN;O;1;no;5239;14924;932062911
vene;ADJ;O;2;no;147744;14924;932062911
aja;NOUN;O;5;no;309245;14924;932062911
muusikaarvuga;NOUN;O;1;no;0;14924;932062911
jõua;VERB;O;5;no;54386;14924;932062911
võltsimine;NOUN;O;1;no;836;14924;932062911
kuhugi;ADV;O;2;yes;61973;14924;932062911
niisugused;DET;O;6;yes;5614;14924;932062911
suured;ADJ;O;3;no;139281;14924;932062911
nimed;NOUN;O;2;no;1;14924;932062911
tundmatud;ADJ;O;1;no;3533;14924;932062911
räägi;VERB;O;1;no;41510;14924;932062911
heliloojatest;NOUN;O;1;no;321;14924;932062911
paljud;PRON;O;4;no;232037;14924;932062911
lauljad;NOUN;O;1;no;5341;14924;932062911
hakata;VERB;O;3;yes;1;14924;932062911
nii-öelda;ADV;O;19;no;15923;14924;932062911
Kreeka;PROPN;O;1;no;32305;14924;932062911
ajaloost;NOUN;O;1;no;22892;14924;932062911
keelte;NOUN;O;1;no;9600;14924;932062911
õppimisest;NOUN;O;1;no;3359;14924;932062911
kõigest;ADV;O;1;yes;1;14924;932062911
pihta;ADV;O;1;yes;52813;14924;932062911
sammu;NOUN;O;2;no;43519;14924;932062911
kaasa;ADV;O;10;no;1;14924;932062911
marssida;VERB;O;1;no;877;14924;932062911
teistega;PRON;O;2;yes;30525;14924;932062911
raske;ADJ;O;8;no;2;14924;932062911
kõrvalt;ADP;O;1;yes;41371;14924;932062911
pead;AUX;O;6;yes;136572;14924;932062911
elementaarsed;ADJ;O;1;no;1808;14924;932062911
asjad;NOUN;O;14;no;203710;14924;932062911
lähed;VERB;O;4;yes;25253;14924;932062911
poodi;NOUN;O;1;no;34060;14924;932062911
tahad;VERB;O;2;no;97646;14924;932062911
