lemma;upos;ner tag;fc_count;stopword;rfc_count;fcTotalCount;rfcTotalCount
risk;NOUN;O;7;no;95215;8801;932062935
oht;NOUN;O;1;no;149166;8801;932062935
arvestama;VERB;O;4;no;351625;8801;932062935
dominoefekt;NOUN;O;1;no;0;8801;932062935
väike;ADJ;O;9;no;690514;8801;932062935
kokku;ADV;O;13;yes;901761;8801;932062935
hakkama;VERB;O;26;yes;1534193;8801;932062935
varisema;VERB;O;3;no;8736;8801;932062935
ei;ADV;O;8;yes;10355923;8801;932062935
nõustuma;VERB;O;1;no;70087;8801;932062935
lihtne;ADJ;O;2;no;325570;8801;932062935
põhjus;NOUN;O;6;no;400878;8801;932062935
esimene;ADJ;O;6;no;1420248;8801;932062935
jaanuar;NOUN;O;3;no;194925;8801;932062935
vereringe;NOUN;O;1;no;9860;8801;932062935
päriselt;ADV;O;1;no;55847;8801;932062935
või;ADV;O;5;yes;4113697;8801;932062935
alates;ADP;O;2;yes;308107;8801;932062935
ühtne;ADJ;O;5;no;60445;8801;932062935
võlakatlas;NOUN;O;1;no;0;8801;932062935
liigutamine;NOUN;O;1;no;8943;8801;932062935
asi;NOUN;O;19;no;1422865;8801;932062935
muutum;NOUN;O;1;no;27;8801;932062935
kohustuslik;ADJ;O;1;no;65344;8801;932062935
abipakett;NOUN;O;1;no;2416;8801;932062935
kõik;DET;O;18;yes;3138760;8801;932062935
muu;PRON;O;6;yes;838288;8801;932062935
kiskuma;VERB;O;1;no;33274;8801;932062935
lõuna;NOUN;O;1;no;71877;8801;932062935
võlakatla;NOUN;O;1;no;0;8801;932062935
kujutama;VERB;O;3;no;141206;8801;932062935
ette;ADV;O;6;yes;724550;8801;932062935
tõeliselt;ADV;O;2;no;54108;8801;932062935
õpilane;NOUN;O;1;no;315105;8801;932062935
lubama;VERB;O;5;no;305810;8801;932062935
tegema;VERB;O;38;yes;3824200;8801;932062935
kompliment;NOUN;O;1;no;7832;8801;932062935
poliitika;NOUN;O;8;no;103752;8801;932062935
üle;ADV;O;12;yes;1447134;8801;932062935
võlastama;VERB;O;2;no;0;8801;932062935
madalaim;ADJ;O;1;no;10481;8801;932062935
valitsussektor;NOUN;O;4;no;1498;8801;932062935
laenukoormus;NOUN;O;1;no;1751;8801;932062935
vältima;VERB;O;2;no;137776;8801;932062935
Läti;PROPN;O;2;no;143756;8801;932062935
stsenaarium;NOUN;O;3;no;29518;8801;932062935
tubli;ADJ;O;1;no;93283;8801;932062935
tõestama;VERB;O;1;no;74389;8801;932062935
võimeline;ADJ;O;1;no;52297;8801;932062935
täiesti;ADV;O;8;yes;326019;8801;932062935
iseseisev;ADJ;O;2;no;44736;8801;932062935
sama;ADV;O;1;yes;1115714;8801;932062935
tugevalt;ADV;O;3;no;39999;8801;932062935
fikseeritud;ADJ;O;1;no;14584;8801;932062935
suhtes;ADP;O;4;yes;247536;8801;932062935
okei;ADV;O;1;no;39468;8801;932062935
eurosüsteem;NOUN;O;6;no;880;8801;932062935
võib-olla;ADV;O;10;yes;138681;8801;932062935
tõesti;ADV;O;12;yes;299939;8801;932062935
võlakoorem;NOUN;O;1;no;1474;8801;932062935
üks-üheselt;ADV;O;1;no;185;8801;932062935
