lemma;fc_count;stopword;rfc_count;fcTotalCount;rfcTotalCount;simpleMathsScore
suurusjärk;1;no;11203;5042;932020281;15.309683973738505
õieti;2;no;23369;5042;932020281;15.25181356450368
väärtuslik;3;no;35575;5042;932020281;15.215866200894894
suva;1;no;11384;5042;932020281;15.08468817671781
graafiline;1;no;11798;5042;932020281;14.594110725361965
laienemine;1;no;11882;5042;932020281;14.4984416633465
saal;7;no;88897;5042;932020281;14.415064896427555
üleni;1;no;12000;5042;932020281;14.366148635722006
rahunema;1;no;12021;5042;932020281;14.342857610555257
turist;4;no;51248;5042;932020281;14.188136325708642
eraisik;2;no;25289;5042;932020281;14.13501941499966
münchen;1;no;12229;5042;932020281;14.116179562858424
eurovisioon;1;no;12328;5042;932020281;14.010787433200417
väga-väga;1;no;12345;5042;932020281;13.992847912033511
börs;2;no;25739;5042;932020281;13.896529898298226
kogum;1;no;12485;5042;932020281;13.846839434245128
jahutama;1;no;12546;5042;932020281;13.78417020034587
arnold;1;no;12653;5042;932020281;13.675601631368476
sajand;13;no;175301;5042;932020281;13.64102473257338
viisakalt;1;no;12822;5042;932020281;13.507565186134064
karvane;1;no;13067;5042;932020281;13.271166252196206
eksponeerima;1;no;13122;5042;932020281;13.219229928690426
kunstimuuseum;1;no;13141;5042;932020281;13.20138263197444
sümboolne;1;no;13147;5042;932020281;13.195756651315918
eelkäija;1;no;13290;5042;932020281;13.06307555792308
muljetavaldav;1;no;13369;5042;932020281;12.990914065330347
vaene;3;no;41896;5042;932020281;12.970152072041612
teemaline;1;no;13396;5042;932020281;12.96643373428077
johann;1;no;13572;5042;932020281;12.809091680628038
rõdu;4;no;57275;5042;932020281;12.7190369417816
pastor;1;no;14038;5042;932020281;12.410358972780704
maja;29;no;433197;5042;932020281;12.35029132273874
annetus;2;no;29238;5042;932020281;12.284865150934198
rebima;1;no;14202;5042;932020281;12.27587396260193
asutamine;1;no;14326;5042;932020281;12.176109488356332
kodulehekülg;1;no;14391;5042;932020281;12.12445863217855
kuulaja;2;no;29760;5042;932020281;12.07592811941668
kajastuma;1;no;14530;5042;932020281;12.015462542453864
valdavalt;2;no;29969;5042;932020281;11.994252208588907
tutvustav;1;no;14726;5042;932020281;11.865058429031002
ulatama;1;no;14897;5042;932020281;11.73688088201
rännak;1;no;15015;5042;932020281;11.650033814678729
vahepealne;1;no;15160;5042;932020281;11.545059120785076
liivi;1;no;15190;5042;932020281;11.523575971180572
saladus;3;no;47352;5042;932020281;11.504550216744043
kauaks;1;no;15273;5042;932020281;11.464553718260012
korsten;1;no;15329;5042;932020281;11.425071877814077
uhke;4;no;64055;5042;932020281;11.392078572365614
salvestama;3;no;49338;5042;932020281;11.050044000061868
rekonstrueerimine;1;no;16398;5042;932020281;10.720317836021431
tõlkija;1;no;16608;5042;932020281;10.591967542834874
maagiline;1;no;16898;5042;932020281;10.419692327270743
kauplemine;1;no;16923;5042;932020281;10.405103023865754
müümine;1;no;17028;5042;932020281;10.344271476884613
külastamine;1;no;17129;5042;932020281;10.286424721667553
väikelaps;1;no;17184;5042;932020281;10.25519527110853
baltikum;1;no;17292;5042;932020281;10.194420476513155
loss;2;no;35767;5042;932020281;10.099305864710557
abielluma;2;no;35809;5042;932020281;10.087760979917652
ohtralt;1;no;17660;5042;932020281;9.992637847263838
külastaja;8;no;147434;5042;932020281;9.973594084188278
ühesõnaga;2;no;36873;5042;932020281;9.803846896474434
valdus;1;no;18060;5042;932020281;9.782178134196649
mahukas;1;no;18956;5042;932020281;9.341469029700528
hoidmine;3;no;58680;5042;932020281;9.31835447566774
üürnik;1;no;19084;5042;932020281;9.281731478528243
näitus;7;no;139245;5042;932020281;9.237542318543888
tulija;1;no;19240;5042;932020281;9.209951354848007
detail;4;no;79670;5042;932020281;9.185095344310948
tähelepanek;1;no;19405;5042;932020281;9.135228413504942
õhtuti;1;no;19812;5042;932020281;8.955994209434
jurist;1;no;20302;5042;932020281;8.749324106243536
puur;1;no;20503;5042;932020281;8.667280136967996
leid;1;no;20520;5042;932020281;8.66041161081529
mõistetav;1;no;20700;5042;932020281;8.588348342119302
vanalinn;2;no;42708;5042;932020281;8.492998590892082
tegelikkus;2;no;42750;5042;932020281;8.48483262378427
kapital;1;no;20992;5042;932020281;8.473962491177895
nojah;1;no;21402;5042;932020281;8.318400501994129
süli;1;no;21481;5042;932020281;8.289080328656553
natukene;3;no;66090;5042;932020281;8.288110887438087
väärima;2;no;43922;5042;932020281;8.263130672147003
paljastama;1;no;21770;5042;932020281;8.183559137796431
saade;6;no;136694;5042;932020281;8.06562486825285
tohutu;2;no;45160;5042;932020281;8.0411886589796
lammutama;1;no;22221;5042;932020281;8.024150770060713
säilitamine;2;no;45601;5042;932020281;7.964981179276032
rüütel;1;no;22505;5042;932020281;7.926917470290747
erakordselt;1;no;22821;5042;932020281;7.821461158167966
otstarve;1;no;22826;5042;932020281;7.819815090636736
onu;1;no;22887;5042;932020281;7.799788711931759
stockholm;1;no;22953;5042;932020281;7.778236037957394
igatsema;1;no;23866;5042;932020281;7.491861181328367
seekordne;1;no;23991;5042;932020281;7.454286174884224
värk;2;no;48872;5042;932020281;7.441861694334548
lõpetus;1;no;25720;5042;932020281;6.970703292217619
põhjamaa;1;no;25858;5042;932020281;6.934796001210144
tänapäev;6;no;159346;5042;932020281;6.925714765823653
õlu;2;no;52842;5042;932020281;6.892447855233011
eeter;1;no;26126;5042;932020281;6.866109330529016
kuulus;2;no;53181;5042;932020281;6.849268971282518
vanasti;1;no;26636;5042;932020281;6.739088393846696
sugugi;2;no;54341;5042;932020281;6.705525206851052
tädi;1;no;26810;5042;932020281;6.696820333746818
