lemma;upos;ner tag;count;stopword
meede;NOUN;O;1;no
valimiskulu;NOUN;O;1;no
ülempiir;NOUN;O;1;no
seadmine;NOUN;O;1;no
niisiis;ADV;O;2;yes
kui;CCONJ;O;1;yes
üksikkandidaat;NOUN;O;1;no
piirama;VERB;O;3;no
maksimaalselt;ADV;O;1;no
annetus;NOUN;O;3;no
määr;NOUN;O;1;no
kohta;ADP;O;2;yes
reformierakondlane;NOUN;O;1;no
Tõnis;PROPN;O;1;no
Kõiv;PROPN;O;1;no
tegema;VERB;O;9;yes
selge;ADJ;O;1;no
kehtiv;ADJ;O;3;no
õieti;ADV;O;1;no
hakkav;ADJ;O;1;yes
seadus;NOUN;O;5;no
hea;ADJ;O;1;no
seal;ADV;O;4;yes
olema;VERB;O;6;yes
kõik;DET;O;7;yes
vajalik;ADJ;O;2;no
rahastamisallikas;NOUN;O;1;no
100;NUM;O;1;no
avalik;ADJ;O;1;no
veebileht;NOUN;O;1;no
igaüks;PRON;O;1;yes
kättesaadav;ADJ;O;1;no
andmed;NOUN;O;1;no
kontrollima;VERB;O;1;no
vannutatud;ADJ;O;1;no
audiitor;NOUN;O;1;no
kes;PRON;O;5;yes
vastutama;VERB;O;1;no
oma;PRON;O;7;yes
arvamus;NOUN;O;2;no
õigsus;NOUN;O;1;no
tegevusluba;NOUN;O;1;no
juriidiline;ADJ;O;1;no
isik;NOUN;O;1;no
lubama;VERB;O;1;no
igasugune;DET;O;1;yes
keelama;VERB;O;2;no
Reformierakond;NOUN;O;1;no
minema;VERB;O;3;yes
kaasa;ADV;O;1;no
plaan;NOUN;O;1;no
panema;VERB;O;3;no
riik;NOUN;O;2;no
jälgima;VERB;O;1;no
sest;SCONJ;O;1;yes
jälle;ADV;O;1;no
tähelepanu;NOUN;O;1;no
olemuslikult;ADV;O;1;no
mujale;ADV;O;1;yes
kontroll;NOUN;O;2;no
vajalikkus;NOUN;O;1;no
üle;ADP;O;4;yes
meetod;NOUN;O;1;no
aga;CCONJ;O;5;yes
erimeelsus;NOUN;O;1;no
jätkuma;VERB;O;1;no
kohalik;ADJ;O;2;no
tee;NOUN;O;4;yes
korrashoid;NOUN;O;1;no
eraldatud;ADJ;O;2;no
jaotus;NOUN;O;1;no
omavalitsus;NOUN;O;3;no
kokku;ADV;O;1;yes
ette;ADV;O;1;yes
12,6;NUM;O;1;no
miljon;NUM;O;2;no
ülevaade;NOUN;O;1;no
Vallo;PROPN;O;1;no
kelmsaar;NOUN;O;1;no
majandus;NOUN;O;1;no
kommunikatsiooniminister;NOUN;O;1;no
Juhan;PROPN;O;2;no
Parts;PROPN;O;2;yes
sõna;NOUN;O;3;no
hoid;NOUN;O;1;no
rahasumma;NOUN;O;1;no
tänavu;ADV;O;1;no
veidi;ADV;O;1;no
suurem;ADJ;O;1;no
kui;SCONJ;O;10;yes
möödunud;ADJ;O;1;no
jagamine;NOUN;O;1;no
põhimõte;NOUN;O;2;no
muutma;VERB;O;1;no
uskuma;VERB;O;1;no
rahaeraldus;NOUN;O;1;no
vähemalt;ADV;O;2;yes
talv;NOUN;O;4;no
jaoks;ADP;O;2;yes
piisav;ADJ;O;1;no
nüüd;ADV;O;1;yes
2011.;ADJ;O;1;no
2012;NUM;O;1;no
tõenäoliselt;ADV;O;1;no
mitte;ADV;O;7;yes
samas;ADV;O;1;yes
ise;PRON;O;1;yes
aru;NOUN;O;1;no
andma;VERB;O;4;no
lumerik;ADJ;O;1;no
sundima;VERB;O;1;no
hool;NOUN;O;1;no
põhimõttelimalt;ADV;O;1;no
üle;ADV;O;1;yes
vaatama;VERB;O;3;no
tegelema;VERB;O;1;no
kuulma;VERB;O;2;no
tegelev;ADJ;O;2;no
seisundinõue;NOUN;O;1;no
teatud;ADJ;O;1;no
muudatus;NOUN;O;1;no
tulema;VERB;O;6;yes
täiendav;ADJ;O;4;no
ressurss;NOUN;O;1;no
lumekoristustöö;NOUN;O;1;no
kuid;CCONJ;O;3;yes
otsustama;VERB;O;2;no
opositsioonierakond;NOUN;O;1;no
vedelkütus;NOUN;O;1;no
mingi;DET;O;2;yes
juht;NOUN;O;3;no
laiendama;VERB;O;1;no
kütusekasutaja;NOUN;O;1;no
ring;NOUN;O;1;no
põhimõtteliselt;ADV;O;1;no
teehooldusfirma;NOUN;O;1;no
registreerima;VERB;O;1;no
põhitegevus;NOUN;O;1;no
põllumajanduslik;ADJ;O;1;no
tootmine;NOUN;O;1;no
tema;PRON;O;20;yes
mehhanism;NOUN;O;3;no
põllumajandusmasin;NOUN;O;1;no
probleem;NOUN;O;1;no
lahendus;NOUN;O;2;no
kaotama;VERB;O;1;no
üleüldse;ADV;O;1;no
ära;ADV;O;3;yes
kütus;NOUN;O;1;no
põllumajandusmehhanism;NOUN;O;1;no
ehitusettevõte;NOUN;O;1;no
asendamine;NOUN;O;1;no
kasutama;VERB;O;2;no
teehooldustöö;NOUN;O;1;no
padaorg;NOUN;O;1;no
taoline;DET;O;1;yes
praegu;ADV;O;2;yes
kaasamine;NOUN;O;1;no
seotud;ADJ;O;2;no
kulu;NOUN;O;1;yes
kinni;ADV;O;1;no
siiski;ADV;O;1;yes
otsus;NOUN;O;2;no
põllumajandusminister;NOUN;O;1;no
Helir-Valdor;PROPN;O;1;no
Seeder;PROPN;O;1;no
tõstatama;VERB;O;1;no
väiketankla;NOUN;O;1;no
lihtsalt;ADV;O;2;no
IRL;PROPN;O;1;no
nõus;ADV;O;2;no
majandusminister;NOUN;O;1;no
juriidiliselt;ADV;O;1;no
võimalik;ADJ;O;1;no
praktiliselt;ADV;O;1;no
teostatav;ADJ;O;1;no
ikkagi;ADV;O;1;yes
suurendama;VERB;O;1;no
hulgikütuseäri;NOUN;O;1;no
ettevõte;NOUN;O;1;no
välismaa;NOUN;O;1;no
aruanne;NOUN;O;1;no
Poola;PROPN;O;2;no
president;NOUN;O;5;no
Lech;PROPN;O;2;no
Kaczyński;PROPN;O;1;no
